objID,ra_sdssdr5,dec_sdssdr5,ra_rosatsdssdr5,dec_rosatsdssdr5,distance,F_Halpha,EW_Halpha,s2n_Halpha,F_Hbeta,EW_Hbeta,s2n_Hbeta,F_oiii,EW_oiii,s2n_oiii,F_nii,EW_nii,s2n_nii,RASS,SDSS,umag,gmag,rmag,imag,zmag,St,z,CRate,Exp,HR1,HR2,L,FX,g0mag,FXcor,logLX,LogL2500,logL2keV,alpha,Comm,agn_type
587725503948718571,259.75976,55.409599,259.7598,55.40956,0.00110321876910854,-999,-999,0,-999,-999,0,8.114,0.707,1.905,-999,-999,0,171900.4+552425,171902.35+552434.4,22.3,21.77,20.99,20.16,19.77,3,0.627,0.024,1274,0.37,0.7,21,2.28,21.64,5.37,45.06,28.88,26.52,0.91,BL?_zunc_radio,Other_AGN
587725503948718571,259.75976,55.409599,259.7598,55.40956,0.00110321876910854,-999,-999,0,9.665,1.07,1.972,-999,-999,0.043,-999,-999,0,171900.4+552425,171902.35+552434.4,22.3,21.77,20.99,20.16,19.77,3,0.627,0.024,1274,0.37,0.7,21,2.28,21.64,5.37,45.06,28.88,26.52,0.91,BL?_zunc_radio,Other_AGN
587725504482312486,255.47155,62.451349,255.4715,62.45133,0.00172453057790898,179.648,29.458,14.275,41.007,5.457,16.691,68.003,9.653,14.01,247.754,40.415,7.907,170156.2+622648,170153.17+622704.8,21.09,20.73,20.15,19.85,19.48,3,0.339,0.0135,2124,0.26,0.05,24,1.22,20.49,2.76,44.09,28.75,25.55,1.23,Sy1.5,BL_Seyfert
587725504484999394,259.54977,56.665596,259.5497,56.66558,0.00115645059784035,480.722,12.61,20.246,127.305,3.561,14,163.673,0.535,2.913,614.887,16.044,23.089,171810.9+563955,171811.93+563956.1,20.71,19.1,18.11,17.65,17.63,3,0.114,0.3014,1412,0.61,0.26,608,28.46,19,66.77,44.38,28.33,25.84,0.96,Sy2?_radio,NL_Seyfert
587725505022591742,261.08306,55.183,261.083,55.18294,0.00187744414251612,144.089,18.944,5.888,26.401,5.412,5.331,60.94,12.396,3.213,308.35,40.323,5.312,172420.4+551050,172419.92+551058.6,22.93,21.81,20.55,19.93,19.26,3,0.365,0.0162,1513,0.13,0.61,22,1.59,21.69,3.83,44.31,28.34,25.78,0.99,Sy2?,NL_Seyfert
587725505022918996,261.55433,54.564257,261.5543,54.56425,0.000856345133913652,229.427,17.986,5.75,55.075,4.79,8.894,217.073,19.674,19.228,504.065,39.308,4.833,172610.6+543313,172613.04+543351.3,20.43,20.06,19.4,18.99,18.62,3,0.259,0.0126,1603,0.5,0.94,16,1.25,19.93,3.05,43.85,28.72,25.31,1.31,Sy1.5_ambigID,BL_Seyfert
587725505022918996,261.55433,54.564257,261.5543,54.56425,0.000856345133913652,339.168,27.532,13.398,62.747,4.996,9.939,219.125,18.354,22.293,489.703,4.434,4.839,172610.6+543313,172613.04+543351.3,20.43,20.06,19.4,18.99,18.62,3,0.259,0.0126,1603,0.5,0.94,16,1.25,19.93,3.05,43.85,28.72,25.31,1.31,Sy1.5_ambigID,BL_Seyfert
587725505023639750,262.32827,52.933132,262.3281,52.93314,0.000967959272733998,27.253,1.089,1.117,23.678,0.741,3.169,-999,0.111,0.99,-999,-999,0,172918.8+525559,172918.75+525559.3,19.61,19.19,18.55,18.17,17.81,3,0.349,0.0611,1400,0.46,0.23,123,6.16,19.06,15.17,44.86,29.35,26.33,1.16,radio,Other_AGN
587725505559855518,262.3992,54.494446,262.3992,54.49442,0.000566045637997606,639.45,16.751,27.336,94.596,2.882,15.057,329.297,10.272,31.679,731.665,19.065,28.258,172933.5+542936,172935.81+542939.9,20.48,18.85,17.82,17.28,16.92,3,0.082,0.0094,1639,1,0.48,11,0.95,18.67,2.34,42.61,28.16,24.07,1.57,Sy1.9_radio,BL_Seyfert
587725505560379526,262.9031,53.378517,262.9031,53.37853,0.00135421150587626,533.893,19.984,18.123,145.524,3.976,19.071,219.825,6.517,14.666,833.614,31.04,9.39,173137.0+532249,173136.75+532242.7,18.73,18.42,18.03,17.64,17.41,3,0.16,0.0362,1421,0.67,-0.06,69,3.68,18.27,9.1,43.84,28.93,25.3,1.39,Sy1.5,BL_Seyfert
