log10..NII..Ha. log10.EW.Ha.. WHAN_Class
 0.00598  0.65446  3.00000
-0.53138  1.52169  1.00000
-0.60149  1.71503  1.00000
-0.52351  1.28231  1.00000
 0.10365  0.65254  3.00000
 0.17210  0.80976  2.00000
-0.57786  1.76055  1.00000
-0.47350  1.54403  1.00000
-0.52232  1.81433  1.00000
 0.07039  1.21735  2.00000
-0.43917  1.35797  1.00000
-0.38655  1.64074  2.00000
-0.70777  1.49628  1.00000
-0.39062  1.44556  2.00000
 0.00000  0.00000  0.00000
-0.12873  1.04096  2.00000
 0.00000  0.00000  0.00000
 0.00000  0.00000  0.00000
-0.32779  1.13701  2.00000
 0.00000  0.00000  0.00000
-0.61731  1.94020  1.00000
-0.11022  0.20763  4.00000
-0.45406  1.51921  1.00000
-0.37401  1.46334  2.00000
-0.25204  1.16026  2.00000
-0.37137  1.14242  2.00000
-0.19663  1.23098  2.00000
-0.44018  1.75212  1.00000
-0.61313  1.79083  1.00000
-0.07241  0.32201  4.00000
-0.54138  0.90531  1.00000
 0.00000  0.00000  0.00000
-0.49768  1.61381  1.00000
-0.55838  1.67559  1.00000
 0.12166 -0.13668  4.00000
-0.39202  1.37011  2.00000
-0.44981  1.61075  1.00000
-0.07354  0.51108  3.00000
-0.60242  1.67587  1.00000
-0.48436  1.83833  1.00000
-0.37013  1.35902  2.00000
-0.40973  0.99555  1.00000
-1.02902  1.51655  1.00000
-0.48966  1.44166  1.00000
-0.46109  1.35415  1.00000
-0.31996  1.26309  2.00000
-0.35114  1.38643  2.00000
-0.42961  0.99991  1.00000
-0.27260  1.50539  2.00000
-0.30100  1.42043  2.00000
-0.57861  1.74603  1.00000
-0.30726  0.57818  3.00000
 0.31888  1.19454  2.00000
-0.23523  0.79727  2.00000
 0.00000  0.00000  0.00000
 0.00000  0.00000  0.00000
-0.21190  0.58286  3.00000
-0.23368  0.14737  4.00000
-1.12587  1.92278  1.00000
-0.52101  1.40637  1.00000
-0.33856  1.28569  2.00000
-0.66234  1.86697  1.00000
