objID,plate,mjd,fiberID,F_Halpha,EW_Halpha,s2n_Halpha,F_Hbeta,EW_Hbeta,s2n_Hbeta,F_oiii,EW_oiii,s2n_oiii,F_nii,EW_nii,s2n_nii,ra,dec,redshift,SNVSS,RCl,SFIRST,Offset,A,M,L,H
587742190978990148,2658,54502,345,320.781,1.219,13.692,127.031,0.545,5.798,227.331,1.002,8.672,395.511,1.495,18.339,185.1002,25.56058,0.02288,73.6,4,26.6,0.10,True,False,True,False
587732050555502728,900,52637,428,406.484,19.438,111.034,90.669,4.765,28.688,151.569,8.227,56.046,139.837,6.651,46.798,139.8023,48.77108,0.03019,5.2,1,8.9,2.13,False,True,False,False
588017949888741457,1450,53120,588,133.349,1.626,12.786,46.27,0.61,4.108,88.141,1.205,8.459,223.112,2.707,15.596,184.2966,43.70401,0.07526,10.7,1,2.3,0.18,True,True,True,False
588007005260611752,612,52079,116,506.293,27.277,60.135,120.252,5.684,19.977,254.159,12.689,51.459,268.952,14.414,38.94,229.7338,57.07916,0.09779,6.6,1,5.7,0.27,False,True,False,False
587729158442451196,589,52055,309,172.586,2.945,27.172,22.553,0.418,4.421,62.656,1.204,7.144,275.022,4.668,30.584,224.2897,3.43935,0.05605,7.2,1,2.1,0.21,True,True,True,False
587735343726198870,1305,52757,305,3018.737,39.37,176.647,680.881,8.388,68.84,606.366,7.827,60.635,1169.081,15.167,102.494,144.978,9.47521,0.01869,5,1,3.9,0.44,False,True,False,False
587735344264577135,1306,52996,482,584.637,24.377,26.15,64.875,3.667,10.656,190.832,10.846,21.34,517.429,21.459,25.293,148.2451,10.34624,0.039,6.3,1,2.5,0.21,False,True,False,False
587726879959810142,723,52201,446,272.737,2.571,20.089,58.138,0.646,7.141,36.069,0.411,3.678,259.528,2.434,16.282,341.8731,-8.03715,0.07508,6.3,1,1.0,0.46,False,True,False,False
587741532784361479,2215,53793,315,7019.203,96.1,52.613,799.78,14.156,37.977,212.84,3.777,13.556,3595.483,48.963,40.496,167.8042,28.7119,0.02934,24.2,1,24.4,0.29,False,True,False,False
587731186199101699,679,52177,160,292.198,29.31,112.339,81.015,7.624,30.373,67.556,6.677,20.568,122.008,12.174,51.941,349.0182,-0.12254,0.08071,5.7,1,2.3,0.39,False,True,False,False
587741723359969363,2240,53823,375,665.843,8.142,81.853,119.804,1.881,22.704,76.474,1.22,11.667,544.023,6.617,46.748,193.2233,28.37127,0.02358,27.7,1,21.3,0.33,False,False,False,False
587738568710357008,1774,53759,194,297.059,0.886,17.85,109.357,0.35,4.766,298.442,0.993,6.286,512.087,1.52,23.478,201.0418,13.97655,0.02297,7.4,1,4.9,0.14,False,False,False,False
587729158431637533,851,52376,191,265.039,1.385,17.497,58.759,0.352,5.186,135.614,0.839,10.579,299.025,1.554,17.176,199.4944,4.4034,0.02074,5.2,3,NA,NA,False,False,False,False
588017627759706208,1363,53053,363,674.624,26.355,49.193,89.404,4.598,16.148,35.35,1.821,8.165,234.472,9.111,36.968,164.8263,44.0562,0.05284,5.6,1,1.6,0.68,False,True,False,False
588013381667455075,880,52367,242,572.482,11.242,19.045,92.283,2.054,9.054,129.683,2.964,10.782,679.41,13.271,19.56,174.1717,50.85913,0.085,7,1,3.9,0.04,True,True,True,False
587731873920057582,888,52339,407,84.285,1.223,14.715,14.754,0.234,2.68,64.164,1.048,9.499,146.813,2.119,18.227,114.7449,28.48815,0.05998,6.5,1,5.9,0.05,True,True,True,False
587739405707313215,2089,53498,176,1666.068,29.253,48.142,452.167,8.027,32.037,3404.357,62.925,57.176,1259.763,22.003,42.724,181.8872,33.87782,0.07907,480.7,2,88.9,2.68,True,True,False,True
587732484341825569,933,52642,406,22.494,0.196,2.864,-994,-999,1.547,15.509,0.149,1.859,31.039,0.268,4.93,129.5675,35.08965,0.06472,16.9,1,13.9,0.08,True,True,True,False
